"No.","Time","Source","Destination","Protocol","Length","Info"
"123","42.305245","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=35 Ack=66 Win=5840 Len=0 TSval=9208468 TSecr=32816"
"124","42.305828","192.168.0.2","84.196.158.177","TELNET","81","Telnet Data ..."
"125","42.402160","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=35 Ack=81 Win=5840 Len=0 TSval=9208492 TSecr=32827"
"126","42.405145","84.196.158.177","192.168.0.2","TELNET","73","Telnet Data ..."
"127","42.406202","192.168.0.2","84.196.158.177","TELNET","72","Telnet Data ..."
"128","42.486999","192.168.0.2","37.115.148.29","TELNET","98","Telnet Data ..."
"129","42.501364","84.196.158.177","192.168.0.2","TELNET","68","Telnet Data ..."
"130","42.504899","192.168.0.2","84.196.158.177","TELNET","78","Telnet Data ..."
"131","42.612153","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=58 Ack=134 Win=5840 Len=0 TSval=29180983 TSecr=32845"
"132","42.612283","37.115.148.29","192.168.0.2","TELNET","72","Telnet Data ..."
"133","42.613807","192.168.0.2","37.115.148.29","TELNET","71","Telnet Data ..."
"134","42.614740","84.196.158.177","192.168.0.2","TELNET","73","Telnet Data ..."
"135","42.654975","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=99 Ack=51 Win=28960 Len=0 TSval=32862 TSecr=9208543"
"136","42.739003","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
"137","42.742163","192.168.0.2","37.115.148.29","TELNET","78","Telnet Data ..."
"138","42.757256","84.196.158.177","192.168.0.2","TELNET","68","Telnet Data ..."
"139","42.757750","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=99 Ack=53 Win=28960 Len=0 TSval=32872 TSecr=9208579"
"140","42.760990","192.168.0.2","84.196.158.177","TELNET","68","Telnet Data ..."
"141","42.867581","37.115.148.29","192.168.0.2","TELNET","69","Telnet Data ..."
"142","42.895126","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=53 Ack=101 Win=5840 Len=0 TSval=9208616 TSecr=32872"
"143","42.905041","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=151 Ack=69 Win=28960 Len=0 TSval=32887 TSecr=29181047"
"144","43.030237","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
"145","43.030742","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=151 Ack=71 Win=28960 Len=0 TSval=32899 TSecr=29181088"
"146","43.032271","192.168.0.2","37.115.148.29","TELNET","68","Telnet Data ..."
"147","43.196739","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=71 Ack=153 Win=5840 Len=0 TSval=29181130 TSecr=32899"
"148","45.761720","192.168.0.2","84.196.158.177","TELNET","98","Telnet Data ..."
"149","45.863218","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=53 Ack=133 Win=5840 Len=0 TSval=9209357 TSecr=33172"
"150","45.867252","84.196.158.177","192.168.0.2","TELNET","72","Telnet Data ..."
"151","45.868718","192.168.0.2","84.196.158.177","TELNET","71","Telnet Data ..."
"152","45.999226","84.196.158.177","192.168.0.2","TELNET","68","Telnet Data ..."
"153","46.002298","192.168.0.2","84.196.158.177","TELNET","78","Telnet Data ..."
"154","46.036590","192.168.0.2","37.115.148.29","TELNET","83","Telnet Data ..."
"155","46.039294","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [FIN, ACK] Seq=170 Ack=71 Win=28960 Len=0 TSval=33200 TSecr=29181130"
"156","46.113347","84.196.158.177","192.168.0.2","TELNET","69","Telnet Data ..."
"157","46.144972","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=150 Ack=64 Win=28960 Len=0 TSval=33211 TSecr=9209418"
"158","46.161715","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=71 Ack=170 Win=5840 Len=0 TSval=29181871 TSecr=33200"
"159","46.164652","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [FIN, ACK] Seq=71 Ack=171 Win=5840 Len=0 TSval=29181871 TSecr=33200"
"160","46.164964","37.115.148.29","192.168.0.2","TCP","74","45100  >  23 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=29181872 TSecr=0 WS=2"
"161","46.165267","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=171 Ack=72 Win=28960 Len=0 TSval=33213 TSecr=29181871"
"162","46.165898","192.168.0.2","37.115.148.29","TCP","74","23  >  45100 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=33213 TSecr=29181872 WS=16"
"163","46.264022","84.196.158.177","192.168.0.2","TELNET","68","Telnet Data ..."
"164","46.264508","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=150 Ack=66 Win=28960 Len=0 TSval=33222 TSecr=9209457"
"165","46.266102","192.168.0.2","84.196.158.177","TELNET","68","Telnet Data ..."
"166","46.290985","37.115.148.29","192.168.0.2","TCP","66","45100  >  23 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=29181903 TSecr=33213"
"167","46.295366","192.168.0.2","37.115.148.29","TELNET","78","Telnet Data ..."
"168","46.417200","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=66 Ack=152 Win=5840 Len=0 TSval=9209492 TSecr=33223"
"169","46.420540","37.115.148.29","192.168.0.2","TCP","66","45100  >  23 [ACK] Seq=1 Ack=13 Win=5840 Len=0 TSval=29181935 TSecr=33226"
"170","46.420791","37.115.148.29","192.168.0.2","TELNET","69","Telnet Data ..."
"171","46.421351","192.168.0.2","37.115.148.29","TELNET","84","Telnet Data ..."
"172","46.421660","192.168.0.2","37.115.148.29","TCP","66","23  >  45100 [ACK] Seq=31 Ack=4 Win=28960 Len=0 TSval=33238 TSecr=29181936"
